dim,k,p,scale,L_reg,eigen_error,orth_error,eigen_cost,eigenvalue_mse,eigenfunc_mse
2.0,6.0,80.0,1.438449888287663,1e-06,0.5748347019620069,0.00010119978022616282,410367.3051610331,0.01718714361264699,0.43019853102943406
2.0,6.0,80.0,1.8329807108324356,1e-06,0.316339374286038,0.00011787735951271893,406483.2307126261,0.006557859029591359,0.3928825441180593
2.0,6.0,80.0,2.3357214690901213,1e-06,0.1469499124616394,0.00012205138969902076,404944.06370326725,0.005804363805556684,0.3807856387494749
2.0,6.0,80.0,2.9763514416313175,1e-06,0.17325742205204203,0.0001165854617656369,405728.6398517427,0.006706617032323344,0.40115654847016224
2.0,6.0,80.0,3.79269019073225,1e-06,0.10975370540977629,0.00012307047280095515,404264.97496222,0.0036880464657181003,0.3822731860358362
2.0,6.0,80.0,4.832930238571752,1e-06,0.062161735463238235,0.000125986670590987,403642.5864703988,0.003228104631538614,0.3652658066029866
2.0,6.0,80.0,6.158482110660261,1e-06,0.03772990341516135,0.00012556992389852384,403380.2865372399,0.0068890336238273476,0.35674206657526025
2.0,6.0,80.0,7.847599703514611,1e-06,0.14540560472505903,0.00014953411565677856,403062.0443882628,0.13060512875767907,0.3509284672092669
2.0,6.0,80.0,10.0,1e-06,5.268612560965596,0.00016003214010760686,402924.0914787223,5.222275387645177,0.34784323976657816
2.0,6.0,90.0,0.1,1e-06,28848.03465901245,0.0001026212992204881,11160509.459614513,9199.999321460258,10.165668616219396
2.0,6.0,90.0,0.12742749857031338,1e-06,9827.890138231813,0.0001035074469762617,5709256.806729889,2289.0268939783427,9.022081557570564
2.0,6.0,90.0,0.16237767391887217,1e-06,3262.4315833289447,6.790058760752995e-05,2868713.2279551774,501.68344501003486,7.2634724910925605
2.0,6.0,90.0,0.20691380811147897,1e-06,915.1873357363297,3.840188418573815e-05,1408443.275314269,87.07742318607077,5.073817595549604
2.0,6.0,90.0,0.26366508987303583,1e-06,184.09536201068437,2.670700562347373e-05,863297.3532070303,20.39973856915647,3.5648672346194594
2.0,6.0,90.0,0.33598182862837817,1e-06,55.92494793963979,2.264484223641664e-05,676980.4615397081,7.820431917140018,2.6842541332850725
2.0,6.0,90.0,0.42813323987193935,1e-06,26.50107107620944,2.2119897532348708e-05,573282.2053302783,3.204448778757997,1.8925939699952674
2.0,6.0,90.0,0.5455594781168519,1e-06,12.310321089171726,3.839755550894678e-05,502443.1594784864,1.169372634200579,1.2960223087200147
2.0,6.0,90.0,0.6951927961775606,1e-06,5.994435192851239,5.3395361521471904e-05,456512.34079382394,0.3724324199271123,0.8651964719289966
2.0,6.0,90.0,0.8858667904100825,1e-06,2.5500303564429885,6.831084986866663e-05,429634.8799158451,0.11532808927859281,0.6116689363802654
2.0,6.0,90.0,1.1288378916846888,1e-06,1.1440978793495307,8.985177299692492e-05,415337.9518904624,0.030934876210616143,0.4717611299472297
2.0,6.0,90.0,1.438449888287663,1e-06,0.5396428339543214,0.0001016916638810508,409815.9532553272,0.015750113130931068,0.4252563450656284
2.0,6.0,90.0,1.8329807108324356,1e-06,0.3082710876068405,0.00011829695385350064,406341.4463790011,0.006272956559970747,0.39154686391161075
2.0,6.0,90.0,2.3357214690901213,1e-06,0.13835435170354998,0.00012427753793453186,404699.6243540864,0.005269470493438605,0.3781506363862214
