dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error
1.0,2,200.0,0.4379395234130494,1e-06,50000.0,0.24917279821126503,1.6335736818783255e-05,1.0559119681757811,0.24917252402902473,0.0014569673734575784,0.0014971838255183206,0.007830234793684117,0.015581760221353415,0.9999182498115623,0.5107206013943475,0.018711031351312753,0.9999440604665085,0.9311333728565963,0.018211968165560238,1.00015542099759
1.0,2,200.0,0.4750810162102797,1e-06,50000.0,0.17984274749644594,1.6091177879870043e-05,1.0488996650868776,0.17984273166684533,0.001072970694461885,0.00108122132938299,0.006472695954506879,0.012887583447016038,0.9999005485199608,0.4989147201594152,0.015204474170829973,0.9999320372722839,0.9232997450378997,0.014760449839448901,1.0001898404395269
1.0,2,200.0,0.5153724655961633,1e-06,50000.0,0.16031894801430072,1.5900823773663216e-05,1.0401671156182573,0.1603186863356422,0.0007837626523088369,0.0008126352570122383,0.005340550551788358,0.010638502780315173,0.9998888115090596,0.48795609085306607,0.012429766605121944,0.9999239389339507,0.9160462682051916,0.012014754719670678,1.0002150169483701
1.0,2,200.0,0.5590810182512224,1e-06,50000.0,0.1141965859245249,1.575379743950666e-05,1.032667608576352,0.11419637143515121,0.0005567981071544323,0.0005351813256030785,0.004327546978977228,0.008624656100470652,0.9998801389875285,0.47748779095532257,0.009849114824404722,0.9999180180664219,0.9090143859241845,0.00949862595239286,1.0002383909631687
1.0,2,200.0,0.6064964774694601,1e-06,50000.0,0.1026424559538873,1.5648593094859994e-05,1.0270614160589544,0.10264239403325717,0.0003828061403216364,0.00037314335645519705,0.003452059579015593,0.006882999813962125,0.9998781759688452,0.4673435601074312,0.007774851530294717,0.9999165745192238,0.9022382099717008,0.007460941875157248,1.0002486461173474
1.0,2,200.0,0.657933224657568,1e-06,50000.0,0.06265445044479145,1.5392911589908767e-05,1.0215317263523305,0.06265106214064256,0.0002798997597626862,0.0002217721095901695,0.002785820035671949,0.005556915905840867,0.9998801593264907,0.45929848108272403,0.006121348713580203,0.999917792032246,0.896791569035956,0.005869341616383089,1.0002532920981646
1.0,2,200.0,0.7137323037957845,1e-06,50000.0,0.06024031354746362,1.529198133314013e-05,1.0190428117391026,0.06023714203366663,0.0002026141613490575,0.00015515223952457973,0.0022744490935466197,0.004538798805820804,0.9998895113245071,0.45214869708047645,0.004957985695667703,0.9999239255180713,0.8919829808555778,0.004734368227713056,1.0002410610640664
1.0,2,200.0,0.7742636826811271,1e-06,50000.0,0.03682967098291829,1.5487450414877e-05,1.014793375701002,0.03682262911970454,0.00014568622852849107,8.874743319018595e-05,0.0017768780166855357,0.0035479174096823413,0.9998954772171539,0.4452340139634337,0.00381450376919579,0.9999277849824936,0.8873146655110162,0.0036332792968055373,1.0002361857374094
1.0,2,200.0,0.8399287059458465,1e-06,50000.0,0.035703291533491034,1.5727354147315888e-05,1.0143289923989511,0.03569668494850227,0.00011798389263776917,6.882181972668041e-05,0.0015609128239211683,0.0031177916318673826,0.9998991989156156,0.4417310530088088,0.0033369043745087694,0.9999299805751806,0.8849454758319806,0.0031714847335716457,1.0002324998623755
1.0,2,200.0,0.9111627561154891,1e-06,50000.0,0.02776442895501653,1.5927535649313043e-05,1.0117196211649226,0.027757321673544177,8.302076496710802e-05,4.1606229148098616e-05,0.0011951190956108106,0.002389556413117462,0.9999061583313529,0.4355033674237644,0.002541680941939211,0.9999344121238215,0.8807286323673897,0.002401898291534276,1.0002229857055556
1.0,2,200.0,0.9884381403503333,1e-06,50000.0,0.015078017100138418,1.6170629421774167e-05,1.0091763797814584,0.015063884037911212,7.212818779837217e-05,2.2470626069135184e-05,0.0009935443127835589,0.001988373435062899,0.9999094398125633,0.4325704286457241,0.002087317778394186,0.999936066131927,0.87874053140126,0.0019773720066096944,1.0002212071033396
1.0,2,200.0,1.072267222010323,1e-06,50000.0,0.01633090116928884,1.6385591316591337e-05,1.0100852459102996,0.01631862520909875,6.664739369663564e-05,2.1777761616246786e-05,0.000960617515032638,0.0019231764076640431,0.9999052831443593,0.43156008908982246,0.002021278399503733,0.999932818915113,0.8780478571174832,0.0019102612677341744,1.000230796597115
1.0,2,200.0,1.1632058178068947,1e-06,50000.0,0.013808167122495498,1.6594005289890654e-05,1.0088287092484718,0.01379700575905632,4.964695157614311e-05,1.3777779389959093e-05,0.0007466840633202856,0.0014977433159326762,0.9999057985616157,0.4270592805014466,0.0015718914678055195,0.9999329851430175,0.8749805654139499,0.001476748485867505,1.0002315773686745
1.0,2,200.0,1.2618568830660204,1e-06,50000.0,0.008500239475471457,1.679560403346983e-05,1.0075713281155274,0.008484853973600036,4.055055671376531e-05,6.020203873556657e-06,0.000566027268342408,0.0011383762423372527,0.9999106461335313,0.4237969906872103,0.001183782812072515,0.9999354649710224,0.8727607573823248,0.0011149442419668466,1.0002263737155959
