dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error,cubic_pde_error
2.0,1,100.0,0.7386199822079361,1e-06,256.0,3.2913846802612043e-10,1.554989444808142e-13,4.933167275139631e-11,3.2912023424232583e-10,2.1262903722738865e-14,7.887703260131668e-14,1.482614364638938e-11,1.000000017755391,1.0000057290748783,1.0000000024454239,0.9999999999503848,1.000000001916184,1.0000000000017262,1.0001873176745446,1.0000669339307704,1.0096297389449207
2.0,1,100.0,0.7386199822079361,1e-06,512.0,2.2249384686245993e-10,2.0780699657162917e-13,2.848246996211736e-11,2.2221652054542306e-10,5.313222454757079e-13,4.0925636307618076e-14,8.889121836644028e-12,1.0000000010227084,1.0000046512506469,1.000000000260513,0.9999999999642546,1.000000001380144,1.0000000000012443,1.0001873496886406,1.0000669893336624,1.0096295892053861
2.0,1,100.0,0.7386199822079361,1e-06,1024.0,,,,,,,,,,,0.0,0.0,0.0,,,
2.0,1,100.0,0.7386199822079361,1e-06,2048.0,,,,,,,,,,,0.0,0.0,0.0,,,
2.0,1,100.0,0.7386199822079361,1e-06,4096.0,2.968755068077487e-10,3.821649270749505e-14,3.961282417320111e-11,2.956887242763373e-10,1.4128679514559892e-12,9.849736392902384e-15,1.1189403075180708e-11,0.9999999914373119,1.000005058653713,0.999999998713169,0.999999999982462,1.000000000677096,1.0000000000006108,1.000187335238777,1.000067003100692,1.009629589550909
2.0,1,100.0,0.7386199822079361,1e-06,8192.0,,,,,,,,,,,0.0,0.0,0.0,,,
2.0,1,100.0,0.7386199822079361,1e-06,16384.0,2.7940150686249044e-10,1.9510495995871965e-17,4.3347325414475135e-11,2.7826576444584195e-10,1.386960114443166e-12,1.2539642742482137e-14,1.1939965560829412e-11,0.9999999781560603,1.0000047102890506,0.9999999967145754,0.9999999999802087,1.000000000763958,1.0000000000006894,1.0001873696825545,1.0000669597507945,1.0096269321612645
2.0,1,100.0,0.7386199822079361,1e-06,32768.0,,,,,,,,,,,0.0,0.0,0.0,,,
2.0,1,100.0,1.1288378916846888,1e-06,128.0,4.16551793737745e-10,9.482665655384109e-13,6.264317377927861e-11,4.160924192910885e-10,9.450148816387802e-13,8.664001019969791e-14,1.8309482488892597e-11,1.0000000066471726,1.000005625352384,1.000000000568713,0.999999999947994,1.0000000020082491,1.0000000000018103,1.0001873506059948,1.000067005580679,1.0096288984390085
2.0,1,100.0,1.1288378916846888,1e-06,256.0,,,,,,,,,,,0.0,0.0,0.0,,,
